metric	method	key	n	mean	std	median	q25	q75
macro_f1	scvi_knn	class	6624	0.6903229030949357	0.1614368516753418	0.6795365338164251	0.5692011137288499	0.7971802653867871
macro_f1	scvi_knn	family	6624	0.8329260109736891	0.11568232343463324	0.8592229484386346	0.7511111111111111	0.9276105536975102
macro_f1	scvi_knn	global	6624	0.7828865911835384	0.1671850309024253	0.7851132306370354	0.6567418491331535	0.9537827943868212
macro_f1	scvi_knn	subclass	6624	0.6903942725691987	0.15378086158205348	0.6846153846153846	0.576357370699476	0.8018193188924896
macro_f1	scvi_rf	class	6624	0.5671701050393871	0.2385484464011302	0.5735105519480519	0.43872839436068056	0.734375
macro_f1	scvi_rf	family	6624	0.695900846406438	0.24000545352582142	0.7603259485612426	0.6053762465279648	0.8800916134452719
macro_f1	scvi_rf	global	6624	0.6676514119310816	0.2771586778875945	0.7046536796536795	0.5302130467571644	0.9268817204301076
macro_f1	scvi_rf	subclass	6624	0.5639467414369643	0.2331786968093464	0.5760913785010171	0.4392290249433106	0.7308150183150184
macro_f1	seurat	class	6624	0.702010836320709	0.19777663537242593	0.6994620901639345	0.5609398496240601	0.9017718715393134
macro_f1	seurat	family	6624	0.8089833084246194	0.1612932656934343	0.8412698412698413	0.7239619985925405	0.936282803218287
macro_f1	seurat	global	6624	0.7681276409870778	0.22715303947946747	0.8307290960222083	0.5927865037812682	0.986842105263158
macro_f1	seurat	subclass	6624	0.7046788014080768	0.19495548784190792	0.7064935064935064	0.5621045621045622	0.8833333333333333
