study	label	key	reference	method	subsample_ref	mean_f1	n_samples	mean_support	rank	n_combos	norm_rank	is_best
GSE124952	Astrocyte	class	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi	50	0.7643475487838233	12	6.833333333333333	22.0	24	0.9130434782608695	False
GSE124952	Astrocyte	class	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi	100	0.8387488328664799	12	6.833333333333333	16.0	24	0.6521739130434783	False
GSE124952	Astrocyte	class	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi	500	0.8561507936507936	12	6.833333333333333	12.0	24	0.4782608695652174	False
GSE124952	Astrocyte	class	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	50	0.7977669999221724	12	6.833333333333333	20.0	24	0.8260869565217391	False
GSE124952	Astrocyte	class	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	100	0.7447871572871573	12	6.833333333333333	23.0	24	0.9565217391304348	False
GSE124952	Astrocyte	class	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	seurat	500	0.7366168165892768	12	6.833333333333333	24.0	24	1.0	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi	50	0.8692226890756302	12	6.833333333333333	10.0	24	0.391304347826087	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi	100	0.8735119047619048	12	6.833333333333333	8.5	24	0.32608695652173914	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	scvi	500	0.8735119047619048	12	6.833333333333333	8.5	24	0.32608695652173914	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	50	0.8661084529505582	12	6.833333333333333	11.0	24	0.43478260869565216	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	100	0.8840909090909091	12	6.833333333333333	5.0	24	0.17391304347826086	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions 10x	seurat	500	0.8744500139236981	12	6.833333333333333	7.0	24	0.2608695652173913	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi	50	0.8326641767818238	12	6.833333333333333	18.0	24	0.7391304347826086	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi	100	0.8133928571428571	12	6.833333333333333	19.0	24	0.782608695652174	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	scvi	500	0.8476540616246498	12	6.833333333333333	14.0	24	0.5652173913043478	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	50	0.8927015250544662	12	6.833333333333333	2.0	24	0.043478260869565216	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	100	0.8851257674787086	12	6.833333333333333	4.0	24	0.13043478260869565	False
GSE124952	Astrocyte	class	Single-cell RNA-seq for all cortical  hippocampal regions SMART-Seq v4	seurat	500	0.8969907407407408	12	6.833333333333333	1.0	24	0.0	True
GSE124952	Astrocyte	class	whole cortex	scvi	50	0.8519432773109243	12	6.833333333333333	13.0	24	0.5217391304347826	False
GSE124952	Astrocyte	class	whole cortex	scvi	100	0.8407096171802054	12	6.833333333333333	15.0	24	0.6086956521739131	False
GSE124952	Astrocyte	class	whole cortex	scvi	500	0.8364340180516651	12	6.833333333333333	17.0	24	0.6956521739130435	False
GSE124952	Astrocyte	class	whole cortex	seurat	50	0.7742276600248736	12	6.833333333333333	21.0	24	0.8695652173913043	False
GSE124952	Astrocyte	class	whole cortex	seurat	100	0.8926047758284601	12	6.833333333333333	3.0	24	0.08695652173913043	False
GSE124952	Astrocyte	class	whole cortex	seurat	500	0.8748475466741721	12	6.833333333333333	6.0	24	0.21739130434782608	False
GSE124952	Astrocyte	family	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi	50	0.7643475487838233	12	6.833333333333333	22.0	24	0.9130434782608695	False
GSE124952	Astrocyte	family	An integrated transcriptomic and epigenomic atlas of mouse primary motor cortex cell types	scvi	100	0.8387488328664799	12	6.833333333333333	16.0	24	0.6521739130434783	False
